"number","title","pageid","namespace","length","touched"
"1","Cyberpunk","5703","","51119","20171010071548"
"2","Feminist_science_fiction","11257","","52781","20171010063556"
"3","Hard_science_fiction","13862","","19989","20171011095331"
"4","Science_fiction","26787","","145950","20171011084135"
"5","New_Wave_science_fiction","27045","","41962","20171010144250"
"6","Steampunk","27684","","91314","20171011124535"
"7","Postcyberpunk","44450","","156","20171009224834"
"8","Apocalyptic_and_post-apocalyptic_fiction","65308","","78915","20171009074714"
"9","Comic_science_fiction","66047","","1830","20171010012033"
"10","Alien_invasion","81803","","39624","20171007013503"
"11","Scientific_romance","225537","","13128","20170924052051"
"12","Science_fantasy","300649","","9737","20171011201518"
"13","Military_science_fiction","306754","","10313","20171010012033"
"14","Skiffy","387820","","2532","20171006073209"
"15","Biopunk","955298","","6087","20171010012037"
"16","Cyberpunk_derivatives","1504896","","30411","20171002121956"
"17","Post-Futurism","1510897","","934","20170626005943"
"18","Afrofuturism","1544359","","42556","20171011194358"
"19","Libertarian_science_fiction","1863087","","5159","20171004130724"
"20","Slipstream_(genre)","1972584","","4388","20170924052102"
"21","Edisonade","1980202","","5915","20171009075132"
"22","Feghoot","2014455","","6402","20170805175429"
"23","Social_science_fiction","2102985","","10138","20171004162549"
"24","Transrealism_(literature)","2545941","","4524","20170703165943"
"25","Science_fiction_Western","2687671","","3134","20171004162714"
"26","Weird_West","3011322","","25171","20171010012037"
"27","Gothic_science_fiction","3311692","","2964","20171010012037"
"28","Space_Western","3766056","","9669","20171010012037"
"29","Speculative_poetry","4043318","","12334","20170927203932"
"30","Christian_science_fiction","4767788","","10031","20170924052102"
"31","Mundane_science_fiction","6384129","","5537","20171010012041"
"32","Tech_noir","8610758","","6559","20171010012041"
"33","Black_science_fiction","11228343","","10361","20170924052102"
"34","Imaginary_voyage","16254860","","3917","20171003152425"
"35","Grotesquerie","18476558","","793","20170708183643"
"36","Decopunk","26485104","","198","20171002191505"
"37","Dieselpunk","27714876","","36134","20170924052102"
"38","Recursive_science_fiction","28920721","","2912","20170924052102"
"39","Anthropological_science_fiction","29583437","","24996","20170924052102"
"40","Dying_Earth_(subgenre)","30862769","","12586","20171011112559"
"41","Outline_of_science_fiction","31984837","","22190","20170924052102"
"42","Space_opera","33544076","","19946","20171004163040"
"43","Speculative_evolution","46926424","","16345","20171007043413"
"44","List_of_comic_science_fiction","49207153","","7568","20170813062332"
"45","Mathematical_fiction","50334376","","6737","20170820153416"
"46","Ecofiction","51820944","","22767","20170916193907"
"47","LitRPG","54008563","","2749","20171008013416"
